claim_id,statement,claim_type,scientific_status,evidence_class,disposition,support,limitations,falsifier_or_next_test
ASTRA-C011,"Under the frozen released synthetic protocol, training BIC selects the generating two-edge chain in 64 of 64 Gaussian-noise realizations.",synthetic numerical result,Admitted with qualification,mechanically_replayed,admit_with_qualification,scripts/benchmark_ensemble.py || data/synthetic_topology_ensemble.json || data/synthetic_topology_ensemble.csv || tests/test_data_integrity.py,"Not blinded || not external || not empirical || does not estimate a general false-positive rate || CSV and JSON are duplicate serializations || The release-frozen 20-start design was adopted after replay of this same benchmark exposed a missed endpoint under the earlier 12-start design; these reruns are post-audit regression evidence, not untouched evaluation || This is pointwise selection, not family-wide topology identification: under the same capacities and surface-only port, surface_star [k02,k12]=[5,6] and deep_star [k01,k02]=[30/11,11] have identical transfer functions",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
ASTRA-C012,"In the post-selection unseen-forcing comparison, the overconnected triangle has lower held-out RMSE than the chain in 23 of 64 realizations; this negative outcome is preserved.",synthetic negative result,Admitted,mechanically_replayed,admit,data/synthetic_topology_ensemble.json || tests/test_data_integrity.py,"The result neither proves nor refutes the framework; it limits the interpretation of 64/64 BIC selection. || The strengthened start design was informed by behavior of this same benchmark, so the rerun is regression evidence rather than untouched evaluation.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
ASTRA-C013,"All retained benchmark graph fits have positive solver termination, finite parameters and cost, and cost-scaled first-order optimality at most 1e-4 under the frozen 20-start generic design; a retained fit is rejected if a non-admitted endpoint produces a materially lower cost.",optimizer diagnostic result,Admitted with qualification,mechanically_replayed,admit_with_qualification,src/astra_optimization.py || scripts/synthetic_topology_benchmark.py || scripts/benchmark_ensemble.py || data/synthetic_topology_benchmark.json || data/synthetic_topology_ensemble.json || tests/test_optimizer.py,Local multistart coverage is not a proof of a global optimum || termination without the declared diagnostic is rejected || 29 of 64 shortcut estimates are lower-bound active || The 20-start design was strengthened after the same benchmark exposed a missed endpoint under 12 starts; current results are post-audit regression evidence,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
ASTRA-C014,"For the declared two-reservoir synthetic model, multi-frequency complex response localizes the grid minimum near the generating capacity-conductance pair more tightly than one low-frequency amplitude.",synthetic identifiability demonstration,Admitted with qualification,mechanically_replayed,admit_with_qualification,scripts/generate_astra_figures.py || data/inverse_demo_summary.json || data/inverse_objective_landscapes.csv || figures/supplement_figure_S2_single_frequency_degeneracy.png || figures/supplement_figure_S3_multifrequency_localization.png,"Astronomical observations cannot generally choose their forcing spectrum || not empirical validation or a uniqueness theorem || The one-frequency objective uses amplitude only; one exact nonzero complex response can generically supply two real constraints, so the comparison demonstrates conditioning and finite-grid localization rather than the structural necessity of 24 frequencies",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
ASTRA-C026,"For C=(8,3,1), surface loss 1.2, equilibrium initialization, and node 2 as the sole input-output port, surface_star [k02,k12]=[5,6] and deep_star [k01,k02]=[30/11,11] have exactly the same rational surface transfer function for every surface forcing although their labeled supports and hidden states differ; the triangle family also has strictly positive two-point fibers, and its balance locus 8*k12=3*k02 contains an unobservable hidden mode.",structural non-identifiability counterexample,Admitted with qualification,hand_checked,admit_with_qualification,manuscript/supplement.md Algebraic-statistical audit of dynamic identifiability across supports || tests/test_benchmark.py || src/astra_reservoir.py,"The released chain point (0.22,1.40) has no second realization in the nonnegative candidate domain, so this counterexample limits but does not contradict the frozen 64/64 pointwise result || A spatially distinct time-varying input, another observation channel, an intervention, or independently justified structural constraints may separate the displayed equivalence, but identifiability must be recomputed for the augmented design || This is a reduced synthetic linear result, not planetary evidence",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C015,Planetary phase-reservoir connectivity should be promoted as a latent model state only when it produces calibrated held-out predictive gain over physically matched fixed-topology baselines.,testable methodological proposal,Proposed only,source_asserted,proposed_only,"manuscript/manuscript.md central claim, ASTRA workflow, falsifiers, and hypotheses",No mission-data or exoplanet retrieval is supplied || failure to improve prediction requires demotion || not a universality claim,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C016,"The proposed contribution is the specific integration of inferable phase-reservoir connectivity with physical admissibility and held-out promotion, not priority over network thermodynamics, graph inference, or planetary phase modeling.",bounded novelty statement,Admitted with qualification,externally_published,admit_with_qualification,manuscript/manuscript.md novelty boundary || canonical literature records in manuscript/references.bib,"No first-discovery, priority, universality, predictive-superiority, proof, or empirical-validation claim is admitted.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C020,"A published study reports an approximately 35 micrometer mixed goethite-hematite-magnetite inclusion completely encapsulated within one Juína diamond with no observed present fracture or exterior connection, and interprets the assemblage as a possible retrograde record of high-pressure epsilon-FeOOH.",qualified external example,Admitted with qualification,externally_published,admit_with_qualification,"Camarda et al. 2026, DOI 10.1038/s41598-026-46683-8 || manuscript/manuscript.md section 12.4","present isolation does not measure permeability or past exchange || later infiltration, epigenetic alteration, multi-stage encapsulation, and syn-growth histories remain alternatives to compare || one specimen cannot establish planetary prevalence or global volatile transport || the study does not validate SPPT or ASTRA",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
ASTRA-C021,"A future ASTRA methods extension may type physical flux, active control, observation, retained history, and verification as distinct coupled structures, but this tuple and its edge-availability syntax are proposed only and are not implemented by v1.0.6.",research-outlook proposal,Proposed only,source_asserted,proposed_only,manuscript/manuscript.md section 12.4 || source input pasted-text.txt SHA-256 d5780e8ec084d51cbb7c454bf6b6e935f4620b4d80723fa30084b3da429ae711,"no cross-domain implementation, theorem, benchmark, or empirical evaluation is supplied || auxiliary graph labels cannot substitute for constitutive mechanisms || the physical SPPT core remains unchanged",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
ASTRA-C022,"The moonlight spectroscopy, doped-Clifford sampling, and xenophagocytosis studies are used only as observation, certificate, and active-control analogies; their results are not evidence for planetary transport or SPPT validity.",cross-domain evidence boundary,Admitted,hand_checked,admit,"Dominy and Hobaiter 2026, DOI 10.1080/1751696X.2026.2696260 || Martiel et al. 2026, arXiv:2607.25941v1 || Wang et al. 2026, DOI 10.1016/j.cell.2026.05.016 || manuscript/manuscript.md section 12.4",spectral resemblance does not establish cultural causation || a device-dependent fidelity lower bound does not certify arbitrary models || a specified embryo mechanism does not establish a universal biological gate || none of the studies validates SPPT,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C023,"An observational resemblance, semantic association, biological recognition signal, or computational certificate cannot be treated as a physical matter-or-energy transport edge without an explicit constitutive bridge.",no-go condition,Admitted,source_asserted,admit,manuscript/manuscript.md no-go condition N6 || source input pasted-text.txt SHA-256 d5780e8ec084d51cbb7c454bf6b6e935f4620b4d80723fa30084b3da429ae711,"The rule does not prohibit a future coupling when a lawful, tested constitutive bridge is supplied.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
ASTRA-C024,"The proposed general claim that stronger boundary selection monotonically improves retained-state conformity while reducing throughput, diversity, or integration is not established by the quantum and embryo studies and is deferred.",deferred cross-domain hypothesis,Deferred,source_asserted,deferred,"Martiel et al. 2026, arXiv:2607.25941v1 || Wang et al. 2026, DOI 10.1016/j.cell.2026.05.016 || manuscript/manuscript.md section 12.4","specificity, repair, parallelism, or added resources can change both quality and throughput || two domain-specific observations cannot establish a general law",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
PROV-C025,"The dream, three-diagram collage, and OpenAI ChatGPT conversation are recorded as the author-reported conceptual origin of the cold-trap/Saturn idea, while later OpenAI assistance is recorded as workflow provenance; none is treated as scientific evidence.",author-reported provenance,Admitted with qualification,source_asserted,admit_with_qualification,explicit 2026-08-01 author publication instruction || SOURCE_INVENTORY.json pasted-text.txt record || manuscript/manuscript.md acknowledgments,"The account is not independently verified || the collage component rights were not established || no private account, device, location, legal name, or unprovided image is published",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
CITE-C017,"Consequential adjacent literature statements are supported by the corrected 42-entry canonical bibliography, including Saturn article 5045 for DOI 10.1038/s41467-024-48969-9, Lukas Delaye in current arXiv:2607.16713 v2, and the four primary records used by the typed-layer outlook.",citation identity and support audit,Admitted with qualification,externally_published,admit_with_qualification,manuscript/references.bib || tests/test_document_contract.py || publisher records linked by DOI,"Literature supports the cited component facts, not the full SPPT/ASTRA framework or its empirical success.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
VERIFY-C018,"Release promotion is fail-closed unless the discovered automated suite passes for the exact admitted commit/tree and checks implemented equations, evidence boundaries, deterministic outputs, metadata, and release invariants under the declared runtime.",verification gate,Admitted with qualification,hand_checked,admit_with_qualification,tests/ || tools/verify.py || requirements-lock.txt || .github/workflows/verify.yml,"A pass must be bound to the exact clean release commit and valid controller; tests establish consistency with implemented equations, not completeness of planetary physics, mathematical proof beyond the checked propositions, or external truth.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
VERIFY-C019,The supplied 99-byte test transcript and duplicate CSV/JSON serialization are not counted as independent execution or evidence.,evidence-provenance rule,Admitted,hand_checked,admit,SOURCE_INVENTORY.json || evidence/README.md || tests/test_data_integrity.py,,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-R001,The public repository preserves SPPT/ASTRA v1.0.6 as an immutable historical release while v1.0.7 is the current stable core and successor resources remain separately namespaced.,repository audit,Deferred,source_asserted,deferred,astraRepo2026 || astraRelease106 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-R001,Repository state can change after the audited commit. || Next test or falsifier: Re-audit exact tree before any release.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-R002,"The audited main snapshot is commit f999536111ebff5dfa488cd178a50db8c8f07930. This is a historical pre-merge audit record, not the v1.0.7 source identity.",repository audit,Deferred,source_asserted,deferred,astraRepo2026 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-R002,Applies only to the 9 August 2026 snapshot. || Next test or falsifier: Record a new base commit if integration proceeds.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-M001,A finite coupling matrix decomposes uniquely into symmetric and antisymmetric parts.,mathematical identity,Admitted,hand_checked,admit,"candidate manuscript, section 8 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-M001",Purely algebraic; physical interpretation requires a declared model. || Next test or falsifier: Exact symbolic replay.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-M002,"In the declared two-particle asymmetric-attraction toy model, the center velocity is (a_LS-a_SL)r/2.",mathematical identity,Admitted,hand_checked,admit,"candidate manuscript, section 8 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-M002",Restricted to the stated one-dimensional toy equations. || Next test or falsifier: Differentiate the declared center coordinate.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-M003,A nonzero reduced pair-force residual requires an environment or boundary term when the enlarged momentum ledger is closed.,bookkeeping identity,Admitted with qualification,hand_checked,admit_with_qualification,"candidate manuscript, section 9 || Hara et al. 2026 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-M003","Does not identify the microscopic mediator by itself. || Next test or falsifier: Measure particle, fluid, field, and boundary momentum exchange together.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-M004,The active-support aggregate has a multiplicative normalization gauge unless a normalization convention is fixed.,mathematical identity,Admitted,hand_checked,admit,"candidate manuscript, section 12 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-M004",Applies to the declared factorized weighting form. || Next test or falsifier: Rescale kernel and local law inversely and verify invariant output.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-M005,Exact equality of observation distributions defines an equivalence relation on a declared candidate set.,mathematical identity,Admitted,hand_checked,admit,"candidate manuscript, section 14 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-M005","Approximate equality needs a threshold and can lose transitivity. || Next test or falsifier: Check reflexivity, symmetry, and transitivity under exact equality.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-M006,"The valid unconditioned quantum observation is Tr[M_d E(rho)], while postselected branches require trace-nonincreasing instruments.",measurement correction,Admitted,hand_checked,admit,"sectorCompleteAlpha || candidate manuscript, section 14 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-M006",Quantum formalism only; other data types need their own likelihoods and units. || Next test or falsifier: Trace normalization and positivity tests.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-F001,"Stateful-edge syntax separates fixed topology, evolving edge state, active support, and topology change.",framework proposal,Proposed only,proposed_only,proposed_only,"candidate manuscript, sections 5-7 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-F001",Not a new universal physical law; every domain needs constitutive closure. || Next test or falsifier: Compare held-out prediction against fixed-edge and topology-only baselines.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-F002,Closure-conditioned reciprocity is a useful admission rule for reduced directed interactions.,framework proposal,Admitted with qualification,structural_inference,admit_with_qualification,"Hara et al. 2026 || candidate manuscript, sections 8-10 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-F002",Requires measurable environment channels; may be underdetermined experimentally. || Next test or falsifier: Close momentum and energy budgets in an independent replication.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-F003,Dynamic arrest should require bounded characteristic scale together with persistent turnover.,operational definition,Proposed only,proposed_only,proposed_only,"Hara et al. 2026 || candidate manuscript, section 10 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-F003",Different systems need domain-specific scale and turnover metrics. || Next test or falsifier: Show saturation with nonzero fragment/reassembly flux over longer windows.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-F004,A self-rewriting edge can be decomposed into fast reversible state and slow irreversible history.,framework proposal,Admitted with qualification,structural_inference,admit_with_qualification,"Redondo et al. 2026 || candidate manuscript, section 11 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-F004",Timescale separation may fail or need more than two state classes. || Next test or falsifier: Operando strain/composition measurements under reversal and cycling.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-F005,"Mode-resolved active support records where, when, and in which spectral or geometric measure a coupling is effective.",framework proposal,Proposed only,proposed_only,proposed_only,"activeSupportDraft || candidate manuscript, section 12 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-F005",A bookkeeping layer until tied to measured kernels and units. || Next test or falsifier: Selective perturbation of predicted support with fixed total input.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-F006,"Sector completeness means measuring or bounding plausible declared sectors and reporting unresolved generator classes, not measuring every imaginable sector.",methodological criterion,Admitted,hand_checked,admit,"sectorCompleteAlpha || candidate manuscript, section 14 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-F006",Completeness remains relative to the frozen candidate family. || Next test or falsifier: Omitted-generator and goodness-of-fit control.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-F007,Visibility and sampling must be represented as typed operators between source residue and terminal data.,methodological criterion,Admitted with qualification,structural_inference,admit_with_qualification,"cosmicVisibilityDraft || candidate manuscript, section 15 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-F007",Operators may be coupled and cannot always be scalarized. || Next test or falsifier: Joint source-operator inference with matched controls.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-F008,Dynamical rent and epistemic rent are distinct promotion tests for an added seam or edge state.,methodological criterion,Admitted with qualification,structural_inference,admit_with_qualification,"earthInstrument030 || candidate manuscript, section 17 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-F008",Both are model- and protocol-dependent. || Next test or falsifier: Ablation against equal-budget baselines on held-out data.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-E001,Bidisperse colloids driven by AC electric fields form persistent active clusters sustained by nonreciprocal electrohydrodynamic interactions.,external experimental result,Admitted with qualification,externally_published,admit_with_qualification,hara2026 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-E001,Applies to the reported open driven colloid-fluid-field-electrode system. || Next test or falsifier: Independent replication with mediator-flow mapping.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-E002,The colloid experiment does not establish failure of momentum conservation or Newtonian action-reaction in the full closed system.,scope correction,Admitted,hand_checked,admit,"hara2026 || candidate manuscript, section 9 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-E002",Full closure was not reconstructed from raw data here. || Next test or falsifier: Direct environment momentum-flux measurement.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-E003,"Compressed Cu3Pt thin film reached a reported 855 mV at 1.0 mA cm^-2 versus 856 mV for Pt under the study conditions, while tensile strain reached 840 mV.",external experimental result,Admitted with qualification,externally_published,admit_with_qualification,redondo2026 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-E003,One thin-film metric under declared conditions; not commercial parity. || Next test or falsifier: Independent operando replication with uncertainty and active-area normalization.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-E004,Cycling of the Cu3Pt film selectively removed Cu and produced a 5-10 nm Pt-enriched surface region.,external experimental result,Admitted with qualification,externally_published,admit_with_qualification,redondo2026 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-E004,"Surface evolution may depend on electrolyte, cycling, and film geometry. || Next test or falsifier: Time-resolved composition/strain mapping during cycling.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-E005,The Cu3Pt study establishes a commercial low-platinum fuel-cell catalyst.,overclaim audit,Rejected,rejected,rejected,redondo2026 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-E005,"No full-cell durability, manufacturing, lifecycle, or cost certificate. || Next test or falsifier: Membrane-electrode assembly tests with Pt mass activity and long-duration durability.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-A001,The colloid case supports representing directed effective edges with an explicit environment ledger.,cross-domain structural inference,Admitted with qualification,structural_inference,admit_with_qualification,hara2026 || candidate manuscript || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-A001,Does not validate planetary stateful edges. || Next test or falsifier: Synthetic benchmark plus a real closed-budget experiment.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-A002,The Cu3Pt case supports representing an interface whose constitutive response changes through both strain and operating history.,cross-domain structural inference,Admitted with qualification,structural_inference,admit_with_qualification,redondo2026 || candidate manuscript || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-A002,Does not prove that every catalyst interface requires this state representation. || Next test or falsifier: Compare equal-budget stateful and memoryless models on held-out cycles.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-D001,The two new experiments empirically validate SPPT for planetary interiors.,scope firewall,Rejected,rejected,rejected,candidate manuscript || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-D001,No planetary data or equations of state are fitted. || Next test or falsifier: Planetary forward-model comparison on independent observables.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-D002,"The integrated methods identify dark matter, a universal hidden medium, or a simulation substrate.",scope firewall,Rejected,rejected,rejected,candidate manuscript || darkMatterCoherence2026 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-D002,Only methodological analogies and bounded detector logic are supplied. || Next test or falsifier: A concrete interaction Hamiltonian and cross-channel prospective signal.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-D003,The v1.0.7 candidate is ready for immediate repository release.,release disposition,Deferred,deferred,deferred,"candidate manuscript, Part VI || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-D003","No frozen integrated code tree, full replay, CI, independent builds, or release identity yet. || Next test or falsifier: Pass every promotion gate in section 25.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-E006,"Koivurova, Robson, and Ornigotti published and analyzed an accelerating-wave equation with a positive-time solution interpretation in a 2023 peer-reviewed Optica article.",external theoretical result,Admitted with qualification,externally_published,admit_with_qualification,koivurova2023 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-E006,"Establishes the published derivation and interpretation, not experimental proof of a universal microscopic arrow of time. || Next test or falsifier: Exact independent derivation audit and a preregistered experiment comparing unique predictions with standard Maxwell/Floquet models.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-A003,"The accelerating-wave paper and temporal-interface literature support an ASTRA audit that separates medium history, control schedule, reference frame, branch selection, observable basis, and the enlarged energy-momentum ledger.",cross-domain structural inference,Admitted with qualification,structural_inference,admit_with_qualification,koivurova2023 || galiffi2022 || moussa2023 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-A003,"This is a methods bridge, not a claim that the wave equation uniquely explains the physical arrow of time. || Next test or falsifier: Show that the added audit variables provide no distinct prediction or diagnostic beyond a standard fully specified time-varying-medium model.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V107-D004,The accelerating-wave equation has experimentally proved a universal microscopic arrow of time.,scope firewall,Rejected,rejected,rejected,brighterSide2026 || koivurova2023 || galiffi2022 || moussa2023 || manuscript/manuscript.md; v1.0.7 claim ledger locator V107-D004,The primary work is theoretical; existing temporal-interface experiments manipulate waves in forward laboratory time and do not establish a universal microscopic time direction. || Next test or falsifier: A preregistered experiment must isolate a prediction unique to the positive-time branch after reversing the complete field-medium-pump protocol and excluding standard models.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
V108-M001,A source-coupled visibility model must evolve transducer state when source-induced change is non-negligible.,framework inference,Strong inference,structural_inference,admit_with_qualification,candidate manuscript section 17.1; oleary2009; jiang2017,"Joint source/operator inference is established prior art; the candidate contribution is the typed, stateful admission rule and requires a domain-specific state equation and constrained nuisances.",Compare fixed and stateful visibility models on held-out interventions.
V108-M002,Xi_br = |delta omega_medium| / Gamma_res is a proposed diagnostic for backreaction-induced detuning.,proposed diagnostic,Plausible,proposed_only,proposed_only,candidate manuscript section 17.3,Not a universal threshold theorem; numerator and width are domain-specific.,Measure both resonance shift and effective width under independent drive changes.
V108-F002,"Over a declared observation window, dynamic arrest is classified by preregistered boundedness or statistical stationarity of a declared characteristic-scale process together with resolved persistent turnover; vanishing logarithmic slope alone is neither necessary nor sufficient.",framework proposal,Proposed,proposed_only,proposed_only,candidate manuscript section 6.1; astraMainM1,"The window, ensemble, scale statistic, turnover event, sampling resolution, noise treatment, and thresholds are application-specific.","Preregister the classifier and distinguish frozen, drifting, and dynamically renewed states on held-out trajectories."
V108-R001,"The default-branch M1 repair corrects weak-cut wording, dynamic-arrest logic, and claim-source coverage language without rewriting immutable v1.0.7 assets.",repository audit,Established,source_asserted,admit,astraMainM1,M1 is not a release or external scientific validation.,Promote only through a new frozen release identity and complete verification.
