source_id,authors,title,year,venue_or_publisher,doi,url,source_type,publication_status,access_date,verification_status,claims_supported,notes
hara2026,"Hara, Shoma; Okada, Masazumi; Kittaka, Keisuke; Tanami, Sho; Iwasaki, Yuichi; Ishikawa, Hiroaki; Yoshii, Kiwamu; Sumino, Yutaka",Arrested coarsening in active colloidal suspensions driven by nonreciprocal electrohydrodynamic interactions,2026,Physical Review Letters,10.1103/96ky-d1p9,https://journals.aps.org/prl/accepted/10.1103/96ky-d1p9,primary research article,accepted paper; version of record pending,2026-08-09,publisher/official metadata checked,V107-E001; V107-E002; V107-A001,Accepted 12 June 2026; publisher accepted-record metadata verified.
dinelli2023,"Dinelli, Alberto; O’Byrne, Jérémy; Curatolo, Agnese; Zhao, Yongfeng; Sollich, Peter; Tailleur, Julien",Non-reciprocity across scales in active mixtures,2023,Nature Communications,10.1038/s41467-023-42713-5,https://doi.org/10.1038/s41467-023-42713-5,primary research / theory article,published,2026-08-09,bibliographic record checked,nonreciprocity prior art,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
mohite2026,"Mohite, Atul Tanaji; Rieger, Heiko",Stochastic thermodynamics of nonreciprocally interacting particles and fields,2026,Physical Review E,10.1103/mqpg-4l5h,https://doi.org/10.1103/mqpg-4l5h,primary research / theory article,published,2026-08-09,bibliographic record checked,nonreciprocal thermodynamics prior art,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
lee2026,"Lee, Hyunseok; Koskelo, EliseAnne; Gokhale, Shreyas; Li, Junang; Fei, Chenyi; Liu, Chih-Wei Joshua; Lin, Lisa; Dunkel, Jörn; Skinner, Dominic J.; Fakhri, Nikta",Topological flowscape reveals state transitions in nonreciprocal living matter,2026,Physical Review X,10.1103/tq6h-f5ws,https://doi.org/10.1103/tq6h-f5ws,primary research article,published,2026-08-09,bibliographic record checked,nonreciprocal state-transition prior art,Accepted 29 June 2026
redondo2026,"Redondo, J.; Monclús, M. A.; Molina-Aldareguia, J. M.; Llorca, J.",The influence of elastic strains on the catalytic activity of Cu3Pt thin films for the oxygen reduction reaction,2026,Electrochimica Acta,10.1016/j.electacta.2026.149539,https://doi.org/10.1016/j.electacta.2026.149539,primary research article,online article / assigned to future issue,2026-08-09,publisher/official metadata checked,V107-E003; V107-E004; V107-E005; V107-A002,"Available online by 9 August 2026; ScienceDirect lists Electrochimica Acta 575, article 149539, issue date 1 November 2026."
monclus2025,"Monclús, Miguel A.; others",Modulating the electrocatalytic activity of intermetallic compounds for the hydrogen evolution reaction via elastic strain engineering,2025,ACS Catalysis,10.1021/acscatal.5c04366,https://doi.org/10.1021/acscatal.5c04366,primary research article,published,2026-08-09,bibliographic record checked,strain-engineering prior art,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
martinez2025,"Martínez-Alonso, C.; others",Computational study to assess the influence of elastic strains on the catalytic activity of au surfaces for the HER and ORR including the effect of coverage,2025,The Journal of Physical Chemistry C,10.1021/acs.jpcc.5c01962,https://doi.org/10.1021/acs.jpcc.5c01962,primary research article,published,2026-08-09,bibliographic record checked,strain/coverage prior art,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
arrowsmith2026,"Arrowsmith, C. D.; others",Dephasingless laser wakefield acceleration of electrons using a flying focus,2026,Nature Physics,10.1038/s41567-026-03352-x,https://doi.org/10.1038/s41567-026-03352-x,primary research article,published,2026-08-09,bibliographic record checked,active-support calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
kavokin2026,"Kavokin, Kirill; Bojarinova, Julia; Sannikov, Dmitriy; Cherbunin, Roman; Pakhomov, Alexander; Fedorishcheva, Alexandra; Chernetsov, Nikita",Disruption of magnetic orientation in migratory songbirds by radiofrequency magnetic fields is mediated by a specialized sensory system,2026,Journal of the Royal Society Interface,10.1098/rsif.2026.0129,https://doi.org/10.1098/rsif.2026.0129,primary research article,published,2026-08-09,publisher/official metadata checked,active-support calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
sunlightSPDC2026,"Li, Cheng; Brar, Jasvinder; Küblböck, Michael; Upham, Jeremy; Fattahi, Hanieh; Boyd, Robert W.",Entangled photon generation pumped by natural sunlight,2026,Primary record available as arXiv:2602.15655,not assigned / not recorded,https://arxiv.org/abs/2602.15655,primary research article,project draft / preprint,2026-08-09,bibliographic record checked,sector-selection calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
dualityDefects2026,"Ueda, Atsushi; Vander Linden, Vic; Lootens, Laurens; Haegeman, Jutho; Fendley, Paul; Verstraete, Frank",Perfect transmission and sector conversion across duality defects,2026,Nature Physics,not assigned / not recorded,https://arxiv.org/abs/2510.26780,primary research article,published,2026-08-09,bibliographic record checked,sector-conversion calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
clavina2026,"Yu, Shang; Sun, Jinzhao; Chen, Kuan-Cheng; Yang, Zhi-Huai; others",Extensible universal photonic quantum computing with nonlinearity,2026,Nature Photonics,not assigned / not recorded,https://arxiv.org/abs/2602.06544,primary research article,published,2026-08-09,bibliographic record checked,controller-state calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
fermium2026,"Urquiza-González, M.; Stemmler, M.; Albrecht, T. E.; Bally, B.; others",High-resolution laser spectroscopy on the hyperfine structure of 255Fm (z=100),2026,Primary record available as arXiv:2511.20921,not assigned / not recorded,https://arxiv.org/abs/2511.20921,primary research article,project draft / preprint,2026-08-09,bibliographic record checked,proxy-inversion calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
dunsky2026,"Dunsky, David; Krnjaic, Gordan; Pinetti, Elena",Indirect limits on dark matter decay to gravitons from cosmic magnetic conversion,2026,Physical Review D,10.1103/yvs5-67cj,https://arxiv.org/abs/2503.19019,primary research article,published,2026-08-09,publisher/official metadata checked,visibility calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
marsMeteorite2026,"Seal, Dylan M.; Chen, Melody Z.; Nicklas, Robert W.; Baxter, Ethan F.; Day, James M. D.; Rider-Stokes, Ben G.; Love, Anthony B.; Malley, James","Implications for martian mantle reservoirs from petrogenesis of the 1.27 ga olivine-phyric shergottite northwest africa 13,441",2026,Geochimica et Cosmochimica Acta,10.1016/j.gca.2026.06.035,https://www.sciencedirect.com/science/article/pii/S0016703726004102,primary research article,published,2026-08-09,publisher/official metadata checked,sampling calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
xenon2026,XENON Collaboration,Low-threshold ionization-only dark-matter search with XENONnT,2026,Physical Review Letters,not assigned / not recorded,https://arxiv.org/abs/2601.11296,primary research article,published,2026-08-09,bibliographic record checked,bounded-null calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
galaxySpins2026,"Sheng, Ming-Jie; Yu, Hao-Ran; Bao, Min; Chen, Bing-Hang; Shao, Fang-Na; Guo, Qi; Chen, Yan-Mei; Wang, Huiyuan; Pen, Ue-Li; Wang, Jie; Yang, Xiaohu",A high-significance detection of primordial tidal torque imprints,2026,Nature Astronomy,10.1038/s41550-026-02948-w,https://arxiv.org/abs/2512.11383,primary research article,published,2026-08-09,publisher/official metadata checked,primordial-memory calibration,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
gao2026,"Gao, Shuhong",Counterexamples to the jacobian conjecture in dimensions greater than two,2026,arXiv preprint arXiv:2608.00222,not assigned / not recorded,https://arxiv.org/abs/2608.00222,primary research article,July 2026 preprint,2026-08-09,bibliographic preprint record checked; mathematical claim not independently validated,local-to-global mathematics calibration,Used only as a provisional local-to-global calibration; not treated as an established counterexample result by this candidate.
spptSupplement106,Jacko T.,SPPT/ASTRA technical supplement v1.0.6,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/v1.0.6/manuscript/supplement.md,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,retained synthetic baseline,Synthetic identifiability and topology-recovery tests; not planetary data
earthWorkingPaper01,Jacko T.,Earth is the instrument: Working paper 0.1,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/tree/earth-instrument-wp-0.1/resources/earth-is-the-instrument/v0.1,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,historical framework baseline,Historical supplemental working paper
brighterSide2026,"Shavit, Joseph",A new wave equation for light challenges how physics explains the arrow of time,2026,The Brighter Side of News,not assigned / not recorded,https://www.thebrighterside.news/post/a-new-wave-equation-for-light-challenges-how-physics-explains-the-arrow-of-time/,news discovery lead,published,2026-08-10,publisher page inspected,chronology and discovery lead only,Popular 2026 article reporting a peer-reviewed 2023 Optica paper; not used as sole technical evidence.
koivurova2023,"Koivurova, Matias; Robson, Charles W.; Ornigotti, Marco","Time-varying media, relativity, and the arrow of time",2023,"Optica 10(10), 1398-1406",10.1364/OPTICA.494630,https://doi.org/10.1364/OPTICA.494630,primary theoretical research article,published,2026-08-10,publisher metadata and article text inspected,V107-E006; V107-A003; V107-D004,Peer-reviewed theoretical work; the proposed microscopic arrow of time remains an interpretation requiring experimental discrimination.
galiffi2022,"Galiffi, Emanuele; Tirole, Romain; Yin, Shixiong; Li, Huanan; Vezzoli, Stefano; Huidobro, Paloma A.; Silveirinha, Mário G.; Sapienza, Riccardo; Alù, Andrea; Pendry, J. B.",Photonics of time-varying media,2022,"Advanced Photonics 4(1), 014002",10.1117/1.AP.4.1.014002,https://doi.org/10.1117/1.AP.4.1.014002,peer-reviewed scholarly review,published,2026-08-10,publisher metadata and review text inspected,V107-A003; V107-D004,Establishes the broader field and standard temporal-interface/Floquet context; does not establish the specific arrow-of-time interpretation.
moussa2023,"Moussa, Hady; Xu, Gengyu; Yin, Shixiong; Galiffi, Emanuele; Ra'di, Younes; Alù, Andrea",Observation of temporal reflection and broadband frequency translation at photonic time interfaces,2023,"Nature Physics 19, 863-868",10.1038/s41567-023-01975-y,https://doi.org/10.1038/s41567-023-01975-y,primary experimental research article,published,2026-08-10,publisher metadata and article abstract inspected,V107-A003; V107-D004,Demonstrates temporal reflection and frequency translation in an externally switched transmission-line metamaterial; laboratory time continues forward.
astraRelease107,Jacko T.,SPPT / ASTRA v1.0.7: Stateful Edges and Operator-Aware Inference,2026,ASTRA project / GitHub,not assigned,https://github.com/jkolantree/astra/releases/tag/v1.0.7,project release record,stable GitHub release; not peer reviewed,2026-08-16,release metadata inspected,V107-R001,Current stable core reference release.
astraManuscript107,Jacko T.,SPPT / ASTRA v1.0.7: Stateful Edges and Operator-Aware Inference,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/v1.0.7/manuscript/manuscript.md,project source / immutable tagged manuscript,stable GitHub release; not peer reviewed,2026-08-16,tagged repository bytes inspected,frozen v1.0.7 canonical claim register,Immutable tagged manuscript source; no empirical planetary validation.
astraClaims107,Jacko T.,SPPT / ASTRA v1.0.7 consequential claim-admission matrix,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/v1.0.7/CLAIM_MATRIX.json,project source / immutable tagged claim register,stable GitHub release; not peer reviewed,2026-08-16,tagged bytes and embedded SHA-256 checked,all 55 frozen v1.0.7 canonical claim IDs,"Authoritative public-ID, wording, support, limitation, evidence, and disposition register for the retained core."
spptSupplement107,Jacko T.,SPPT / ASTRA Technical Supplement v1.0.7,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/v1.0.7/manuscript/supplement.md,project source / immutable tagged technical supplement,stable GitHub release; not peer reviewed,2026-08-16,tagged repository bytes inspected,retained synthetic and exact mathematical claims,Reduced synthetic demonstrations; not planetary data.
astraMainM1,Jacko T.,ASTRA default-branch core-integrity M1 source repair,2026,GitHub pull request 14,not assigned,https://github.com/jkolantree/astra/tree/f8b32ef0af9cb6804f256490b4daafbdba43740e,repository maintenance record,merged to main; unpromoted,2026-08-16,patch and current README inspected,V108-R001; V108-F002,Exact source snapshot at f8b32ef0af9cb6804f256490b4daafbdba43740e; not v1.0.8 and not a published erratum.
naidu2026,"Naidu, Rohan P. et al.",A gas-enshrouded and gas-reddened black hole at cosmic dawn,2026,"Nature 656, 329-333",10.1038/s41586-026-10846-4,https://www.nature.com/articles/s41586-026-10846-4,primary peer-reviewed research,published open access,2026-08-16,publisher record and full text inspected,V108-E001; V108-A001; V108-D001,Model explicitly described as highly simplified.
srinivasaragavan2026,"Srinivasaragavan, Gokul P. et al.",EP250827b/SN 2025wkm: An X-Ray Flash-supernova Powered by a Central Engine and Circumstellar Interaction,2026,Astrophysical Journal Letters 1006 L36,10.3847/2041-8213/ae7a68,https://doi.org/10.3847/2041-8213/ae7a68,primary peer-reviewed research,published,2026-08-16,official IPAC metadata and abstract inspected,V108-E002a; V108-E002b; V108-A002; V108-D002,Magnetar/disk/CSM parameters are model-derived.
hook2026,"Hook, Anson; Huang, Junwu; Shalaby, Mohamad",No cosmological constraints on dark photon dark matter from resonant conversion: Impact of nonlinear plasma dynamics,2026,Physical Review Letters,10.1103/98cx-7t43,https://arxiv.org/abs/2510.13956,primary accepted research / simulation,accepted,2026-08-16,primary arXiv record and accepted DOI verified,V108-E003; V108-A003; V108-D003,Nonlinear plasma result; no dark-photon detection.
davis2026,"Davis, M. Ryleigh et al.",Neptune's Inner Moons and Rings Are Exposed Icy Body Interiors,2026,"Science Advances 12(31), eaeb1437",10.1126/sciadv.aeb1437,https://arxiv.org/abs/2607.27481,primary peer-reviewed research,published,2026-08-16,journal reference and arXiv abstract/full text inspected,V108-E004; V108-A004; V108-D004; V108-F001,Author manuscript states no redistribution; no article figure is reused.
belyakov2026,"Belyakov, Matthew et al.",Nereid as a Regular Satellite of Neptune,2026,Science Advances 12(21),10.1126/sciadv.aeb1429,https://arxiv.org/abs/2606.02818,primary peer-reviewed research,published,2026-08-16,journal reference and arXiv record inspected,V108-A004; V108-D004,Proposes Nereid as surviving original regular satellite.
weibel2026,"Weibel, Andrea et al.",Black Hole Stars Across the Universe: Identifying Central Engine Dominated Little Red Dots at z~1.5-9.5,2026,arXiv:2606.17271,10.48550/arXiv.2606.17271,https://arxiv.org/abs/2606.17271,preprint / candidate population,preprint,2026-08-16,arXiv record inspected,population context only,Template-selected candidates; not spectroscopic confirmation.
shi2026,"Shi, Zhaodong et al.",Microquasar Cygnus X-3 as the PeVatron powering the Cygnus Bubble,2026,Astrophysical Journal Letters,10.3847/2041-8213/ae878e,https://arxiv.org/abs/2607.07100,accepted theoretical/model paper,accepted,2026-08-16,arXiv and related DOI inspected,adjacent calibration only,Prospective source reassignment; not uniquely established.
mishra2026,"Mishra, Bhupendra et al.",Active Galactic Nucleus Tori: Potential Birthplace to Millions of Planets,2026,Astrophysical Journal / arXiv:2605.19241,10.48550/arXiv.2605.19241,https://arxiv.org/abs/2605.19241,accepted theoretical paper,accepted in ApJ,2026-08-16,arXiv record inspected,adjacent calibration only,No AGN-torus planet has been observed.
cosmocube2026,CosmoCube Collaboration,Spectrometer development for a lunar-orbiting 21-cm dark-ages mission,2026,Official CosmoCube project,not assigned,https://www.cosmocube.net/latest/the-spectrometer-development-of-cosmocube-lunar-orbiting-satellite-to-detect-21-cm-hydrogen-signal-from-cosmic-dark-ages,official mission-development documentation,development report,2026-08-16,official project page inspected,adjacent calibration only,Mission proposal/development; no detection.
darkMatterCoherence2026,Jacko T.,Legacy v1.0.7 source-token resolution: darkMatterCoherence2026,2026,ASTRA exact-commit repository source,not assigned / not recorded,https://github.com/jkolantree/astra/blob/f8b32ef0af9cb6804f256490b4daafbdba43740e/resources/cosmic-visibility-framework/draft-v0.1.0/CORE_FRAMEWORK.md,frozen historical identifier / repository-bound alias,legacy alias; not an independent publication,2026-08-16,exact f8b32ef repository source inspected; historical conversation artifact is not relied upon,V107-D002 frozen support-token resolution only,Preserves the byte-exact v1.0.7 support token while resolving it to an inspectable repository source. The v1.0.8 manuscript and bibliography do not cite the uninspectable artifact; this alias implies no external publication or validation.
oleary2009,Dianne P. O'Leary,Scientific Computing with Case Studies,2009,Society for Industrial and Applied Mathematics,10.1137/9780898717723,https://doi.org/10.1137/9780898717723,publisher book record / foundational inverse-problem source,published,2026-08-16,SIAM publisher record and chapter summaries inspected,V108-M001 prior-art boundary,Chapters 14-15 treat blind deconvolution of a spectrum together with an uncertain spectrometer blur; cited to deny generic priority.
jiang2017,Ming Jiang; Jérôme Bobin; Jean-Luc Starck,Joint Multichannel Deconvolution and Blind Source Separation,2017,SIAM Journal on Imaging Sciences 10(4):1997-2021,10.1137/16M1103713,https://doi.org/10.1137/16M1103713,primary research article / inverse-problem prior art,published; peer reviewed,2026-08-16,SIAM publisher record and abstract inspected,V108-M001 prior-art boundary,"Jointly treats instrumental deconvolution and source separation in multichannel imaging, including astrophysical applications."
