claim_id,claim_type,scope,evidence_status,evidence_class,disposition,claim,primary_support,falsifier_or_demotion_condition
SCI-C011,synthetic,model mismatch control,Established,mechanically_replayed,admit_with_qualification,"The declared out-of-set hybrid is rejected by the four-pure-generator candidate set using a best-of-four selection-adjusted diagnostic bound.","data/sector_complete_benchmark.json; tests","A reproduced selection-adjusted upper bound >=0.001, or a change in the candidate-selection procedure, demotes this result."
SCI-C012,synthetic,conservation ledger,Established,mechanically_replayed,admit_with_qualification,"The benchmark preserves trace and one global excitation in the enlarged state space; energy and charge are not modeled.","data/sector_complete_benchmark.json; tests","A reproduced trace or excitation expectation differing from one, or any physical-energy interpretation, requires correction."
SCI-C013,interpretive,duality-defect bridge,Strong inference,source_asserted,admit_with_qualification,"The valid bridge from the cited duality-defect work to ASTRA is methodological: local observables can be incomplete when a specified state migrates into a specified nonlocal/interface sector.","supplied methods audit; SRC-QT-002","A direct empirical bridge to another ontology would require a specified interaction and independent detection."
SCI-C014,interpretive,dark matter,Unsupported,source_asserted,rejected,"The four quantum/nuclear reports identify the physical identity, origin, or purpose of dark matter.","supplied methods audit","This claim remains rejected unless a concrete interaction model and reproducible multi-sector signal are supplied."
SCI-C015,methodological,dark matter,Strong inference,source_asserted,proposed_only,"Any dark-sector ASTRA bridge should remain proposed_only until interaction, abundance, response, nuisance, multi-sector prediction, preregistration, and falsifiable null are specified.","templates/dark_matter_hidden_sector_proposed_only.json; supplied methods audit","A validated empirical interaction chain could promote a specific record, not the general analogy."
SCI-C016,provenance,source scope,Established,hand_checked,admit_with_qualification,"This local milestone does not reproduce the cited experiments from raw data or independently verify every version-of-record asset.","source/source_map.csv; verification/LOCAL_AUDIT.md","A later raw-data and version-of-record audit would update this status."
SCI-C017,external precision metrology,ultralight dark matter null search,Bounded null,externally_published,admit_with_qualification,"Amaral et al. report no anticipated signal and a model-specific B-L upper limit in a narrow mass range using a superconducting-trap levitated magnet.","SRC-QT-005; https://arxiv.org/abs/2409.03814; DOI 10.1103/PhysRevLett.134.251001","Do not generalize to all dark matter, particle identity, universal exclusion, or ASTRA/SPPT validation; force sensitivity and confidence assumptions must remain attached."
SCI-C018,external precision metrology,room-temperature magnetometry,Observed metrology,source_asserted,admit_with_qualification,"Ji et al. report approximately 32 fT/sqrt(Hz) LeMaMa field sensitivity near the stated resonance in an ambient room-temperature levitated sensor.","SRC-QT-006; https://arxiv.org/abs/2504.21524","This is an arXiv preprint record, not an independently checked version-of-record; it is not a dark-matter observation or limit, and no independent sensor calibration or raw-data replay is included."
SCI-C019,external precision metrology,spin-spin-velocity interaction bounds,Accepted record,source_asserted,admit_with_qualification,"Tian et al. report model-dependent 95%-CL V6/V14 spin-spin-velocity bounds using a levitated-magnet force sensor and magnetic shielding, with no positive exotic signal reported in the accepted record.","SRC-QT-007; https://journals.aps.org/prl/accepted/10.1103/35c1-ylnx","Accepted status is not version-of-record verification; do not call this a dark-matter detection or convert it into a planetary transport term."
SCI-C020,methodological,magnet-to-ASTRA bridge,Guardrail,hand_checked,proposed_only,"A levitated-magnet result can inform ASTRA's observation/certificate layer only after its observable, calibration, units, likelihood, nuisance controls, and searched domain are typed; it is not a physical SPPT edge.","source/ASTRA_Sector_Complete_Instrument_Module_v0.1.0-alpha.1.md; SCI-C017-SCI-C019","Any proposed adapter lacking an operator-to-detector map, multi-sector predictions, and a falsifiable null remains deferred."
