"source_id","title","canonical_record","record_type","record_date","retrieved_or_frozen","verification_state","evidence_class","rights_or_distribution","relation","alias_of","notes"
"S011","Searching for Population III stars with line intensity mapping cross-correlations","https://arxiv.org/abs/2607.28713","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","transformed archive analogy","","Population inference without resolving every source; not direct evidence for filament conversion."
"S012","Interlopers as Signal in Line Intensity Mapping","https://arxiv.org/abs/2607.24917","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","transformed archive analogy","","A displaced record can be informative only under a correct forward model; misspecification can bias inference."
"S013","A high-significance detection of primordial tidal torque imprints","https://www.nature.com/articles/s41550-026-02948-w","Nature Astronomy record named in supplied report","2026","2026-08-09","primary Nature Astronomy record inspected; no independent replay","source_asserted","Publisher and authors retain their terms; no article text or figures redistributed","primordial archive analogy","","Spin alignment is a reported result; its interpretation is not a universal memory law."
"S014","Field-Level Inference of Primordial Non-Gaussianity with the Quijote Simulation Suite","https://arxiv.org/abs/2603.20855","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","field-level inference","","Simulation improvement is conditional on forward model and tested scales."
"S015","Disentangling modified gravity and galaxy bias with field-level inference","https://arxiv.org/abs/2607.03514","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","field-level inference","","Underdense regions may help separation in simulations; no universal discrimination claim."
"S016","The Cosmic Web and Its Filaments: Neutrino Mass from Topology and Persistent Homology","https://arxiv.org/abs/2604.09148","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","topological observable","","Topology carries information in a model-dependent inference setting."
"S017","Probing Confining Dark Sectors with Cosmological Perturbations","https://arxiv.org/abs/2606.25014","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","genesis archive","","Dark-sector production signatures and present coupling are separate axes."
"S018","Validating Digital Twins of the Local Universe with the Thermal Sunyaev-Zeldovich Signal","https://arxiv.org/abs/2601.15935","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","calibration infrastructure","","Constrained simulations retain phase information but still require held-out validation."
"S019","Coverage is not enough: Frequentist tests of simulation-based inference for primordial non-Gaussianity","https://arxiv.org/abs/2605.00980","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","calibration warning","","Posterior coverage alone is insufficient; shape and fixed-parameter tests are required."
"S020","Supplied report: two reports fit together unusually well","user-supplied attachment SHA-256 0d0194e2d95d1036835f184702770775af6be15a81b66b121c21bbd194ac5945","User-supplied synthesis","2026-08-09","2026-08-09","input/provenance only; not independent evidence","source_asserted","User supplied for analysis; no relicense of cited material","context and synthesis","","Provides the visibility-kernel proposal and case summaries; never double-counted."
"S021","Supplied report: the universe is part of the apparatus","user-supplied attachment SHA-256 f2c6a8f02b29e0388d70b58548a2f3f3ea7d39cd49c8c82f0079012fe5b2920e","User-supplied synthesis","2026-08-09","2026-08-09","input/provenance only; not independent evidence","source_asserted","User supplied for analysis; no relicense of cited material","context and synthesis","","Provides the tomography, control, and transformed-archive program; never double-counted."
"S022","CMB Spectral Distortions from Resonant Conversions in Atomic Dark Sectors","https://arxiv.org/abs/2602.13384","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","related method","","A related conversion channel and calibration warning; not evidence for the filament decay channel."
